flight_id,status,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,arrival_airport,city,timezone,model,range,ticket_no,amount,fare_conditions,boarding_no,seat_no,book_ref,passenger_id,book_date,total_amount
136270,Arrived,2017-02-12T10:05:00Z,2017-02-12T11:45:00Z,2017-02-12T10:12:00Z,2017-02-12T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333795   ,36600.00,Business,14,3F,F7175C,8376 531215,2017-01-11T15:02:00Z,121600.00
136165,Arrived,2017-02-22T10:05:00Z,2017-02-22T11:45:00Z,2017-02-22T10:11:00Z,2017-02-22T11:52:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172563   ,36600.00,Business,26,3F,A49444,9665 360215,2017-02-06T10:38:00Z,48800.00
136264,Arrived,2017-02-18T10:05:00Z,2017-02-18T11:45:00Z,2017-02-18T10:07:00Z,2017-02-18T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172462   ,36600.00,Business,36,3F,9F86EC,3030 105696,2017-01-31T18:06:00Z,48800.00
136159,Arrived,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435722642   ,36600.00,Business,81,3F,C3D96F,3779 539940,2016-12-23T21:35:00Z,217100.00
136146,Arrived,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,2017-02-09T10:08:00Z,2017-02-09T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435722709   ,36600.00,Business,81,3F,3AAAD4,3197 039316,2017-01-20T12:54:00Z,72400.00
136275,Arrived,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349812   ,36600.00,Business,65,3F,1AA41C,4954 399964,2016-12-17T06:06:00Z,48800.00
136436,Arrived,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350635   ,36600.00,Business,50,3F,C9A5E0,4294 824451,2017-01-04T04:58:00Z,73200.00
136181,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351019   ,36600.00,Business,46,3F,4A2E23,3426 876951,2017-01-11T20:37:00Z,122000.00
136486,Arrived,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351141   ,36600.00,Business,24,3F,A8F21A,1964 597478,2017-01-10T01:30:00Z,73200.00
136130,Arrived,2017-02-13T10:05:00Z,2017-02-13T11:45:00Z,2017-02-13T10:07:00Z,2017-02-13T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351545   ,36600.00,Business,74,3F,4458CC,7724 560603,2017-01-23T19:04:00Z,73200.00
136249,Arrived,2017-02-14T10:05:00Z,2017-02-14T11:45:00Z,2017-02-14T10:08:00Z,2017-02-14T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351567   ,36600.00,Business,39,3F,2B5A0F,8464 899110,2017-01-20T12:42:00Z,48800.00
136452,Arrived,2017-02-17T10:05:00Z,2017-02-17T11:45:00Z,2017-02-17T10:08:00Z,2017-02-17T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351840   ,36600.00,Business,9,3F,1F841D,5282 101281,2017-01-27T00:31:00Z,146400.00
136485,Arrived,2017-01-27T10:05:00Z,2017-01-27T11:45:00Z,2017-01-27T10:07:00Z,2017-01-27T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147484   ,36600.00,Business,83,3F,16F404,8903 573946,2017-01-14T23:04:00Z,60800.00
136316,Arrived,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147294   ,36600.00,Business,64,3F,1AD985,2221 840472,2016-12-26T03:59:00Z,97200.00
136131,Arrived,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333669   ,36600.00,Business,30,3F,EDA00A,4629 187028,2017-01-08T02:16:00Z,97200.00
136268,Arrived,2017-02-16T10:05:00Z,2017-02-16T11:45:00Z,2017-02-16T10:08:00Z,2017-02-16T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333890   ,36600.00,Business,33,3F,04B5E8,2055 290292,2017-01-22T15:15:00Z,121600.00
136411,Arrived,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172065   ,36600.00,Business,39,3F,4957AE,2168 646727,2017-01-22T15:27:00Z,48800.00
136120,Arrived,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2017-02-24T10:07:00Z,2017-02-24T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172618   ,36600.00,Business,53,3F,1140DB,0543 153211,2017-02-09T05:57:00Z,73200.00
136351,Arrived,2017-02-26T10:05:00Z,2017-02-26T11:45:00Z,2017-02-26T10:13:00Z,2017-02-26T11:53:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172670   ,36600.00,Business,64,3F,06AD97,0474 379119,2017-02-04T11:34:00Z,48800.00
136389,Arrived,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350318   ,36600.00,Business,39,3F,D19C3C,8119 235209,2016-12-28T09:50:00Z,122000.00
136172,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350323   ,36600.00,Business,83,3F,751C6A,2705 765980,2016-12-23T20:35:00Z,97600.00
136360,Arrived,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351073   ,36600.00,Business,27,3F,F9D93E,0049 739231,2017-01-12T18:53:00Z,73200.00
136178,Arrived,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432052166   ,36600.00,Business,31,3F,649B67,5411 695503,2017-01-12T04:20:00Z,61000.00
